Alpha,q,delta_e,Output1,Output2,Output3
0.248482215,0.896457736,0.071218961,0.75573933,1.1397177,-1.1408367
0.290714731,0.827608532,0.411996284,1.0879564,1.3355402,-1.4253845
0.324594108,0.738926349,0.717772534,1.3767372,1.4934235,-1.6625643
0.349873212,0.640058444,0.936225048,1.5812409,1.5941175,-1.8159231
0.367111081,0.541114753,1.0,1.6501036,1.6135033,-1.838485
0.377260741,0.449030323,0.958914908,1.6250145,1.5775633,-1.7737467
0.38135071,0.366507687,0.843604616,1.5321814,1.5024518,-1.6482357
0.380177837,0.292526856,0.733519449,1.435686,1.423538,-1.5245074
0.37430015,0.224669319,0.647913533,1.3514402,1.349191,-1.4171071
0.364015294,0.159931782,0.605110591,1.2941309,1.286678,-1.3392446
0.349514207,0.096676621,0.603321168,1.2624921,1.2349211,-1.2889544
0.330944004,0.033856569,0.608546292,1.2297542,1.1790735,-1.2393417
0.308497864,-0.02793911,0.639181166,1.2108524,1.1276662,-1.2053056
0.282501594,-0.087637901,0.633025544,1.157207,1.0548195,-1.1391771
0.253281262,-0.144452938,0.638250668,1.1075546,0.9822516,-1.0793797
0.221157314,-0.198600982,0.613842958,1.0299442,0.8927222,-0.9941589
0.186355217,-0.250417848,0.626941525,0.9778441,0.8155257,-0.9360827
0.149212343,-0.299228176,0.613842958,0.90146476,0.72399616,-0.8561278
0.110144607,-0.343533878,0.610335685,0.8299629,0.63494134,-0.78350204
0.069781633,-0.381062058,0.557869877,0.7182689,0.52507836,-0.67435235
0.028852313,-0.409693979,0.492377075,0.5962299,0.41208324,-0.55868876
-0.011680678,-0.426453668,0.380502485,0.43933347,0.2844386,-0.41309777
-0.050764168,-0.429360794,0.230262693,0.25585556,0.14828044,-0.24611183
-0.087433826,-0.418538634,0.058120395,0.06039785,0.012405083,-0.071721345
-0.12104645,-0.396945114,-0.097416064,-0.11580538,-0.10655679,0.0806452
-0.151454371,-0.370144527,-0.198768864,-0.24333382,-0.19429451,0.18417518
-0.178949712,-0.343724155,-0.21186743,-0.29626846,-0.23881114,0.21534951
-0.204026478,-0.321362015,-0.167346637,-0.30003548,-0.25568777,0.20051521
-0.227231947,-0.304657113,-0.083458602,-0.2701402,-0.25442702,0.15539093
-0.248903263,-0.292036549,0.003936736,-0.23535699,-0.2505133,0.10763792
-0.269113969,-0.280826802,0.045880753,-0.23428154,-0.26418582,0.09428636
-0.287831126,-0.269197797,0.060768743,-0.25211814,-0.28671074,0.10002647
-0.304994868,-0.256483278,0.051964773,-0.286039,-0.31626353,0.121829465
-0.320515248,-0.24193213,0.046739679,-0.31423938,-0.34059766,0.13790987
-0.334274547,-0.225362099,0.015317452,-0.36007106,-0.3723015,0.17129683
-0.346248793,-0.207327097,0.002218885,-0.3883182,-0.39230573,0.18744887
-0.356413688,-0.188153835,-0.017035273,-0.4183457,-0.41127765,0.20562162
-0.364866486,-0.169096956,-0.024049819,-0.43588263,-0.42193535,0.2121782
-0.371773178,-0.151123915,-0.011810178,-0.43574834,-0.4219264,0.20231725
-0.37723797,-0.13389252,0.005654587,-0.4291818,-0.41736683,0.1869601
-0.381260017,-0.116388942,0.007444009,-0.43261957,-0.41688937,0.18193786
-0.38382782,-0.098293125,-0.003936736,-0.44402778,-0.41926402,0.18512209
-0.384870501,-0.078708579,-0.012669104,-0.45068157,-0.4171717,0.18362708
-0.384322281,-0.057830607,-0.050246923,-0.47741526,-0.42418554,0.20207317
-0.382345218,-0.037674481,-0.056330972,-0.4769482,-0.41530916,0.19450621
-0.379203955,-0.019924872,-0.041514555,-0.45826864,-0.3962616,0.17035489
-0.375061818,-0.003777639,-0.003077811,-0.41941178,-0.36584222,0.12730122
-0.369881385,0.012452575,-0.010020756,-0.41475028,-0.3531452,0.11838129
-0.36364047,0.029336741,-0.017894198,-0.40901488,-0.3386909,0.10856032
-0.356332252,0.046653776,-0.041514555,-0.41394168,-0.32895932,0.10951424
-0.348075555,0.063288719,-0.045021828,-0.40146023,-0.30910245,0.09391932
-0.33898368,0.078957501,-0.039725132,-0.3807351,-0.28432426,0.07089016
-0.329142774,0.093774426,-0.036217888,-0.36027977,-0.25931332,0.048753373
-0.318597143,0.108207079,-0.034500038,-0.3401198,-0.23396426,0.027334249
-0.307356694,0.122616292,-0.044091331,-0.32776892,-0.21226755,0.0139057245
-0.295404212,0.137492302,-0.052823698,-0.31352004,-0.18873873,-0.0013004784
-0.282762403,0.152309196,-0.076444055,-0.309925,-0.1704331,-0.005695747
-0.269490417,0.166980461,-0.072077886,-0.28316048,-0.1389575,-0.032661915
-0.255599496,0.181475724,-0.09390882,-0.27612695,-0.11776613,-0.03983739
-0.241217622,0.194971932,-0.089542622,-0.24765497,-0.08476499,-0.06759564
-0.22643,0.207465345,-0.089542622,-0.22207183,-0.05331996,-0.09195115
-0.211340607,0.218796624,-0.085176423,-0.19265398,-0.019905634,-0.11952002
-0.196031758,0.229103707,-0.080810254,-0.16297838,0.013497539,-0.14685726
-0.180567282,0.238556383,-0.079951329,-0.13590822,0.04532609,-0.1712273
-0.165001847,0.247290366,-0.079951329,-0.10942408,0.07668046,-0.19469829
-0.149433132,0.254797085,-0.082528104,-0.08509726,0.10644207,-0.2155584
-0.133931462,0.261460303,-0.068570613,-0.047881104,0.14289755,-0.2488402
-0.118487093,0.267807824,-0.080810254,-0.03152237,0.16780126,-0.2614292
-0.10315635,0.273559382,-0.080810254,-0.005724609,0.1975568,-0.28314853
-0.087979383,0.278665652,-0.085176423,0.016300038,0.22489434,-0.30095068
-0.073027168,0.282854597,-0.083458602,0.04267723,0.25409657,-0.32277927
-0.058361292,0.286117993,-0.079951329,0.069906294,0.28319344,-0.34519914
-0.043940439,0.289584643,-0.077302981,0.0960731,0.31155998,-0.36674553
-0.029719454,0.293224528,-0.103500113,0.09910136,0.3271675,-0.365594
-0.015769088,0.296305299,-0.100064412,0.12507844,0.35487857,-0.3869864
-0.002018235,0.299912299,-0.106148461,0.1432467,0.37832466,-0.4009532
0.011478405,0.302712818,-0.131486639,0.14567864,0.3926734,-0.39916822
0.024490426,0.303191084,-0.101782263,0.19063812,0.4290295,-0.43865103
0.036989147,0.302636993,-0.085176423,0.22428362,0.45839533,-0.46676117
0.049038657,0.302250604,-0.088683696,0.24129033,0.47832784,-0.47868562
0.060662668,0.301882864,-0.103500113,0.24864939,0.4926164,-0.4812593
0.07191546,0.302139537,-0.102641188,0.2678655,0.51326215,-0.4959283
0.082845011,0.30259726,-0.13320449,0.26170376,0.51982456,-0.48574758
0.0933222,0.301914505,-0.121036421,0.28849912,0.5435974,-0.50783545
