a,q,delta e,cd
0.179250066,1.411903312,-0.15,0.040571062
0.179872446,1.412881577,-0.15,0.040684709
0.180494709,1.413853392,-0.15,0.040798334
0.181116849,1.414818763,-0.15,0.040911937
0.181738861,1.415777696,-0.15,0.041025516
0.182360741,1.4167302,-0.15,0.041139071
0.182982484,1.41767628,-0.15,0.041252602
0.183604084,1.418615943,-0.15,0.041366106
0.184225537,1.419549196,-0.15,0.041479583
0.184846838,1.420476046,-0.15,0.041593033
0.185467982,1.4213965,-0.15,0.041706454
0.186088965,1.422310565,-0.15,0.041819845
0.18670978,1.423218247,-0.15,0.041933206
0.187330425,1.424119555,-0.15,0.042046536
0.187950893,1.425014494,-0.15,0.042159833
0.18857118,1.425903073,-0.15,0.042273097
0.189191281,1.426785298,-0.15,0.042386328
0.189811192,1.427661176,-0.15,0.042499524
0.190430907,1.428530715,-0.15,0.042612684
0.191050422,1.429393922,-0.15,0.042725807
0.191669733,1.430250804,-0.15,0.042838893
0.192288834,1.431101369,-0.15,0.042951941
0.192907721,1.431945624,-0.15,0.04306495
0.193526389,1.432783576,-0.15,0.043177919
0.194144834,1.433615233,-0.15,0.043290847
0.194763051,1.434440602,-0.15,0.043403733
0.195381035,1.435259691,-0.15,0.043516577
0.195998782,1.436072508,-0.15,0.043629378
0.196616287,1.436879059,-0.15,0.043742134
0.197233545,1.437679353,-0.15,0.043854845
0.197850553,1.438473397,-0.15,0.043967511
0.198467304,1.4392612,-0.15,0.04408013
0.199083796,1.440042767,-0.15,0.044192701
0.199700023,1.440818109,-0.15,0.044305224
0.200315981,1.441587231,-0.15,0.044417698
0.200931666,1.442350143,-0.15,0.044530122
0.201547072,1.443106852,-0.15,0.044642495
0.202162195,1.443857365,-0.15,0.044754817
0.202777032,1.444601692,-0.15,0.044867086
0.203391577,1.445339839,-0.15,0.044979302
0.204005827,1.446071814,-0.15,0.045091464
0.204619776,1.446797627,-0.15,0.045203571
0.205233421,1.447517284,-0.15,0.045315623
0.205846757,1.448230795,-0.15,0.045427618
0.206459779,1.448938166,-0.15,0.045539556
0.207072484,1.449639407,-0.15,0.045651436
0.207684867,1.450334525,-0.15,0.045763257
0.208296923,1.451023529,-0.15,0.045875018
0.208908649,1.451706427,-0.15,0.045986719
0.20952004,1.452383227,-0.15,0.046098359
0.210131092,1.453053938,-0.15,0.046209937
0.2107418,1.453718568,-0.15,0.046321453
0.211352161,1.454377124,-0.15,0.046432905
0.211962171,1.455029617,-0.15,0.046544292
0.212571824,1.455676054,-0.15,0.046655615
0.213181117,1.456316443,-0.15,0.046766872
0.213790045,1.456950794,-0.15,0.046878062
0.214398606,1.457579115,-0.15,0.046989185
0.215006793,1.458201413,-0.15,0.04710024
0.215614604,1.458817699,-0.15,0.047211227
0.216222033,1.45942798,-0.15,0.047322143
0.216829078,1.460032265,-0.15,0.04743299
0.217435734,1.460630564,-0.15,0.047543765
